Table Name,Field Name,Data Type,Category,Priority,Description,Business Purpose,Example Values,Constraints,Business Rules,Compliance Notes,Related Fields
User,id,String,Identity,critical,"Unique identifier for the record","Primary key for database relationships and record identification",""usr-123e4567-e89b-12d3-a456-426614174000"; "wo-987fcdeb-51f2-4567-8901-123456789012"","NOT NULL; UNIQUE; UUID format; NOT NULL; UNIQUE","","",""
User,createdAt,DateTime,Audit,critical,"Timestamp when the record was initially created","Audit trail for record creation, required for compliance and data integrity",""2024-10-30T10:00:00.000Z"; "2024-10-30T14:22:15.123Z"","NOT NULL; Default: CURRENT_TIMESTAMP; NOT NULL; NOT NULL for audit fields","","","updatedAt; createdBy"
User,updatedAt,DateTime,Audit,critical,"Timestamp when the record was last modified","Tracks latest changes for audit trail and data synchronization",""2024-10-30T14:22:15.123Z"; "2024-10-30T16:45:30.456Z"","NOT NULL; Default: CURRENT_TIMESTAMP ON UPDATE; NOT NULL; NOT NULL for audit fields","","","createdAt; updatedBy"
User,email,String,Personnel,high,"Email address for communication","Primary communication method for notifications and user identification",""john.doe@machshop.com"; "quality.inspector@machshop.com"","UNIQUE; Valid email format; Required for active users; NOT NULL; UNIQUE","","GDPR: Personal Identifiable Information (PII) - requires privacy protection",""
User,employeeNumber,String,Personnel,high,"Unique employee identifier from HR system","Links personnel records with external HR and payroll systems",""EMP-001234"; "EMP-005678"; "TEMP-000123"","UNIQUE; Format: EMP-NNNNNN or TEMP-NNNNNN; NOT NULL; UNIQUE","","",""
User,personnelClassId,String,Relationships,high,"Foreign key reference to related record","Establishes relationship with referenced entity for data integrity",""site-001"; "user-456"; "wo-789"","FOREIGN KEY constraint; References parent table; NOT NULL; UNIQUE","","",""
User,departmentId,String,Relationships,high,"Foreign key reference to related record","Establishes relationship with referenced entity for data integrity",""site-001"; "user-456"; "wo-789"","FOREIGN KEY constraint; References parent table; NOT NULL; UNIQUE","","",""
User,supervisorId,String,Relationships,high,"Foreign key reference to related record","Establishes relationship with referenced entity for data integrity",""site-001"; "user-456"; "wo-789"","FOREIGN KEY constraint; References parent table; NOT NULL; UNIQUE","","",""
User,auditLogs,AuditLog,Other,high,"Reference to AuditLog entity","Establishes relationship with AuditLog for personnel management operations",""auditlog-001"; "auditlog-123"","NOT NULL","","",""
User,generatedAuditReports,AuditReport,Other,high,"Reference to AuditReport entity","Establishes relationship with AuditReport for personnel management operations",""auditreport-001"; "auditreport-123"","NOT NULL","","",""
User,createdRoleTemplates,RoleTemplate,Other,high,"Reference to RoleTemplate entity","Establishes relationship with RoleTemplate for personnel management operations",""roletemplate-001"; "roletemplate-123"","NOT NULL","","",""
User,updatedRoleTemplates,RoleTemplate,Other,high,"Reference to RoleTemplate entity","Establishes relationship with RoleTemplate for personnel management operations",""roletemplate-001"; "roletemplate-123"","NOT NULL","","",""
User,instantiatedTemplates,RoleTemplateInstance,Other,high,"Reference to RoleTemplateInstance entity","Establishes relationship with RoleTemplateInstance for personnel management operations",""roletemplateinstance-001"; "roletemplateinstance-123"","NOT NULL","","",""
User,templateUsageLogsAsPerformer,RoleTemplateUsageLog,Other,high,"Reference to RoleTemplateUsageLog entity","Establishes relationship with RoleTemplateUsageLog for personnel management operations",""roletemplateusagelog-001"; "roletemplateusagelog-123"","NOT NULL","","",""
User,templateUsageLogsAsTarget,RoleTemplateUsageLog,Other,high,"Reference to RoleTemplateUsageLog entity","Establishes relationship with RoleTemplateUsageLog for personnel management operations",""roletemplateusagelog-001"; "roletemplateusagelog-123"","NOT NULL","","",""
User,authenticationEvents,AuthenticationEvent,Other,high,"Reference to AuthenticationEvent entity","Establishes relationship with AuthenticationEvent for personnel management operations",""authenticationevent-001"; "authenticationevent-123"","NOT NULL","","",""
User,dispatchedWorkOrders,DispatchLog,Other,high,"Reference to DispatchLog entity","Establishes relationship with DispatchLog for personnel management operations",""dispatchlog-001"; "dispatchlog-123"","NOT NULL","","",""
User,createdDocumentTemplates,DocumentTemplate,Other,high,"Reference to DocumentTemplate entity","Establishes relationship with DocumentTemplate for personnel management operations",""documenttemplate-001"; "documenttemplate-123"","NOT NULL","","",""
