Table,Field,Type,Nullable,Default,Description,Category
Enterprise,id,String,No,cuid(,,Core Infrastructure
Enterprise,enterpriseCode,String,No,,Unique alphanumeric identifier for the enterprise following corporate naming standards,Core Infrastructure
Enterprise,enterpriseName,String,No,,Official legal name of the enterprise as registered with regulatory authorities,Core Infrastructure
Enterprise,description,String,Yes,,,Core Infrastructure
Enterprise,headquarters,String,Yes,,Primary corporate headquarters location for legal and administrative purposes,Core Infrastructure
Enterprise,isActive,Boolean,No,true,,Core Infrastructure
Enterprise,createdAt,DateTime,No,now(,,Core Infrastructure
Enterprise,updatedAt,DateTime,No,,,Core Infrastructure
Enterprise,sites,Site[],No,,,Core Infrastructure
Site,id,String,No,cuid(,,Core Infrastructure
Site,siteCode,String,No,,Unique identifier for manufacturing site following corporate site naming standards,Core Infrastructure
Site,siteName,String,No,,Descriptive name of the manufacturing facility for operational identification,Core Infrastructure
Site,location,String,Yes,,Physical address or geographic location of the manufacturing site,Core Infrastructure
Site,enterpriseId,String,Yes,,Foreign key linking site to its parent enterprise organization,Core Infrastructure
Site,isActive,Boolean,No,true,,Core Infrastructure
Site,createdAt,DateTime,No,now(,,Core Infrastructure
Site,updatedAt,DateTime,No,,,Core Infrastructure
Site,areas,Area[],No,,,Core Infrastructure
Site,auditReports,AuditReport[],No,,,Core Infrastructure
Site,equipment,Equipment[],No,,,Core Infrastructure
Site,indirectCostCodes,IndirectCostCode[],No,,,Core Infrastructure
Site,ncrs,NCR[],No,,,Core Infrastructure
Site,operations,Operation[],No,,,Core Infrastructure
Site,partAvailability,PartSiteAvailability[],No,,,Core Infrastructure
Site,permissionChangeLogs,PermissionChangeLog[],No,,,Core Infrastructure
Site,permissionUsageLogs,PermissionUsageLog[],No,,,Core Infrastructure
Site,productionSchedules,ProductionSchedule[],No,,,Core Infrastructure
Site,routingTemplates,RoutingTemplate[],No,,,Core Infrastructure
Site,routings,Routing[],No,,,Core Infrastructure
Site,securityEvents,SecurityEvent[],No,,,Core Infrastructure
Site,enterprise,Enterprise,Yes,,,Core Infrastructure
Site,timeTrackingConfiguration,TimeTrackingConfiguration,Yes,,,Core Infrastructure
Site,userSiteRoles,UserSiteRole[],No,,,Core Infrastructure
Site,workOrders,WorkOrder[],No,,,Core Infrastructure
Site,roleTemplateInstances,RoleTemplateInstance[],No,,,Core Infrastructure
Site,roleTemplateUsageLogs,RoleTemplateUsageLog[],No,,,Core Infrastructure
Area,id,String,No,cuid(,,Core Infrastructure
Area,areaCode,String,No,,Unique identifier for work area within the site following site area naming standards,Core Infrastructure
Area,areaName,String,No,,Descriptive name of the work area for operational identification and communication,Core Infrastructure
Area,description,String,Yes,,Detailed description of the area's purpose; capabilities; and operational characteristics,Core Infrastructure
Area,siteId,String,No,,Foreign key linking area to its parent site location,Core Infrastructure
Area,isActive,Boolean,No,true,,Core Infrastructure
Area,createdAt,DateTime,No,now(,,Core Infrastructure
Area,updatedAt,DateTime,No,,,Core Infrastructure
Area,site,Site,No,,,Core Infrastructure
Area,equipment,Equipment[],No,,,Core Infrastructure
Area,workCenters,WorkCenter[],No,,,Core Infrastructure
User,id,String,No,cuid(,,Personnel Management
User,username,String,No,,,Personnel Management
User,email,String,No,,,Personnel Management
User,firstName,String,Yes,,,Personnel Management
User,lastName,String,Yes,,,Personnel Management
User,passwordHash,String,No,,,Personnel Management
User,isActive,Boolean,No,true,,Personnel Management
User,roles,String[],No,,,Personnel Management
User,permissions,String[],No,,,Personnel Management
User,lastLoginAt,DateTime,Yes,,Timestamp of user's most recent successful authentication,Personnel Management
User,createdAt,DateTime,No,now(,,Personnel Management
User,updatedAt,DateTime,No,,,Personnel Management
