Original Value,Standard Unit Code,Confidence,Requires Review,Notes
"°C",C,HIGH,false,"Pattern match: ""c"""
"°F",F,HIGH,false,"Pattern match: ""f"""
"count",EA,HIGH,false,"Pattern match: ""count"""
"EA",EA,HIGH,false,"Direct code match"
"GAL",GAL,HIGH,false,"Direct code match"
"HOURS",SEC,HIGH,false,"Pattern match: ""s"""
"IPM",M,HIGH,false,"Pattern match: ""m"""
"KG",KG,HIGH,false,"Direct code match"
"L",L,HIGH,false,"Direct code match"
"L/min",M,HIGH,false,"Pattern match: ""m"""
"LB",LB,HIGH,false,"Direct code match"
"mm",MM,HIGH,false,"Direct code match"
"PSI",PSI,HIGH,false,"Direct code match"
"RPM",RPM,HIGH,false,"Direct code match"
"SHEET",T,HIGH,false,"Pattern match: ""t"""
"μm",M,HIGH,false,"Pattern match: ""m"""
